HD	RA	DEG	Bayer	Cst
21574	51.8890417	-35.6813333	chi02	For
21635	52.0479167	-35.8534167	chi03	For
21686	52.602	11.3364722	s    	Tau
21754	52.7182083	12.9366944	f    	Tau
21770	53.1095833	46.0570556	     	Per
21790	52.654375	-5.0751667	v    	Eri
21933	53.1497083	9.3735556	t    	Tau
22001	52.3424583	-62.9384444	kap  	Ret
22049	53.2350833	-9.4583056	eps  	Eri
22091	53.6109167	24.4644722	     	Tau
22192	54.1223333	48.1926944	psi  	Per
22203	53.446875	-21.6328056	tau05	Eri
22374	54.2417917	23.2111111	     	Tau
22470	54.0724583	-17.4670278	     	Eri
22484	54.2188333	0.4028333	     	Tau
22663	54.2736667	-40.2745	y    	Eri
22713	54.7547083	-5.6256944	     	Eri
22789	54.6985833	-27.9431111	tau  	For
22796	54.9630833	3.0568333	     	Tau
22805	55.1929167	25.3295278	     	Tau
22920	55.1597083	-5.2106944	     	Eri
22928	55.7311667	47.7876667	del  	Per
22951	55.5943333	33.9650278	o    	Per
23016	55.5789167	19.7002778	     	Tau
23180	56.0797083	32.2882778	omi  	Per
23183	55.9464167	19.6651667	     	Tau
23227	55.5620833	-31.9383889	del  	For
23230	56.2985	42.5785556	nu.  	Per
23249	55.8123333	-9.7651944	del  	Eri
23288	56.2008333	24.2895833	     	Tau
23302	56.2188333	24.1134444	     	Tau
23319	55.7088333	-37.3133333	h    	Eri
23324	56.2905417	24.8393611	     	Tau
23338	56.302	24.4673889	q    	Tau
23363	56.127125	-1.1630833	     	Eri
23401	57.5895	71.3323611	gam  	Cam
23408	56.456625	24.3678611	     	Tau
23413	56.23525	-0.2967222	     	Eri
23432	56.4769167	24.5546111	     	Tau
23441	56.5120417	24.528	     	Tau
23466	56.4184583	6.0500278	u    	Tau
23480	56.5815	23.9484722	     	Tau
23607	56.83	24.1394444	eta  	Tau
23614	56.5354167	-12.1017222	pi.  	Eri
23629	56.8370833	24.1161111	     	Tau
23630	56.8710833	24.10525	eta  	Tau
23738	56.61425	-29.3381667	sig  	For
23754	56.7124583	-23.2484444	tau06	Eri
23793	57.0677083	11.1433611	e    	Tau
23817	56.048125	-64.8070833	bet  	Ret
23822	57.237125	23.8572778	     	Tau
23848	57.38625	33.0913889	n    	Per
23850	57.2905417	24.0535278	     	Tau
23862	57.2966667	24.1368333	     	Tau
23878	56.9150833	-23.8748056	tau07	Eri
23940	56.9834167	-30.1673333	rho  	For
24071	57.14925	-37.6201389	f    	Eri
24072	57.1495833	-37.6205556	f    	Eri
24160	57.3636667	-36.2001111	g    	Eri
24263	58.0009167	6.5349167	     	Tau
24388	58.1735417	-5.36125	     	Eri
24398	58.533	31.8836667	zet  	Per
24512	56.8092917	-74.23925	gam  	Hyi
24534	58.8461667	31.0458611	X    	Per
24546	59.1518333	50.6956944	A    	Per
24554	58.5725	-2.9527778	w    	Eri
24555	58.5729167	-2.9547222	w    	Eri
24587	58.4278333	-24.6122222	tau08	Eri
24626	58.4121667	-34.7323056	i    	Eri
24740	59.2167917	22.47825	     	Tau
24760	59.4634167	40.0102778	eps  	Per
24769	59.2658333	23.1755833	     	Tau
24912	59.74125	35.7910278	ksi  	Per
25025	59.5072083	-13.50825	gam  	Eri
25204	60.1700833	12.4903889	lam  	Tau
25267	59.9811667	-24.01625	tau09	Eri
25340	60.3834583	-1.5496389	     	Eri
25422	59.6864167	-61.4001389	del  	Ret
25490	60.7890833	5.9893056	nu.  	Tau
25555	61.0902917	24.1060278	     	Tau
25558	60.9358333	5.4356389	     	Tau
